date,gross_return,n_positions,n_long,n_short,beta_exposure,turnover,fixed_cost,mktrf,market_hedge_weight,market_hedge_return,beta_neutral_gross_return,net_return,taq_total_cost,taq_cost_coverage,taq_traded_names,taq_net_return
2006-01-01,0.00559778906682914,369,185,184,0.20981867739066207,1.0,0.001,-0.003,-0.20981867739066207,0.0006294560321719862,0.006227245099001126,0.005227245099001126,0.0020526205776835007,1.0,369,0.004174624521317625
2006-02-01,-0.006594118423289627,385,189,196,-0.3917586584518918,1.8412684669023411,0.0018412684669023413,0.0147,0.3917586584518918,0.005758852279242809,-0.0008352661440468182,-0.0026765346109491597,0.0035633882202336454,0.9871794871794872,624,-0.0043986543642804635
2006-03-01,-0.0059172912003432965,394,198,196,0.30334359149523843,1.841879869387603,0.0018418798693876032,0.0073,-0.30334359149523843,-0.0022144082179152407,-0.008131699418258538,-0.009973579287646141,0.0037198790782980865,0.99185667752443,614,-0.011851578496556624
2006-04-01,0.008982046978334018,420,210,210,0.15539325824707126,1.5963559430910932,0.001596355943091093,-0.0356,-0.15539325824707126,0.005531999993595737,0.014514046971929755,0.012917691028838661,0.0033753276650813555,0.971830985915493,639,0.0111387193068484
2006-05-01,-0.011821607978311357,408,217,191,0.4287015339019313,1.7715054350494435,0.0017715054350494433,-0.0035,-0.4287015339019313,0.0015004553686567596,-0.010321152609654598,-0.012092658044704042,0.004142123715450993,0.9583333333333334,672,-0.01446327632510559
2006-06-01,-0.014060669406621956,483,228,255,0.5308970165815394,1.2420002426943255,0.0012420002426943256,-0.0077,-0.5308970165815394,0.004087907027677854,-0.009972762378944101,-0.011214762621638428,0.0028704230350172686,0.9813953488372092,645,-0.01284318541396137
2006-07-01,-0.01632131302850025,469,227,242,0.5279970033723791,1.0519601174614084,0.0010519601174614084,0.0203,-0.5279970033723791,-0.010718339168459295,-0.027039652196959547,-0.028091612314420956,0.0024710979791480858,0.9894578313253012,664,-0.02951075017610763
2006-08-01,-0.0013865724079198906,434,213,221,0.24228129086768224,1.602272979661113,0.0016022729796611132,0.0184,-0.24228129086768224,-0.004457975751965353,-0.005844548159885244,-0.007446821139546356,0.003981827858003879,0.9931972789115646,735,-0.009826376017889122
2006-09-01,-0.008137157278777236,448,220,228,-0.22705206887861584,1.3643891046777652,0.0013643891046777653,0.0322,0.22705206887861584,0.00731107661789143,-0.000826080660885806,-0.0021904697655635713,0.0036459212254103305,0.9877862595419847,655,-0.004472001886296137
2006-10-01,0.001929454229157439,425,220,205,0.14186069396954082,1.585767309932435,0.001585767309932435,0.017,-0.14186069396954082,-0.002411631797482194,-0.00048217756832475496,-0.00206794487825719,0.004279489275774644,0.9939849624060151,665,-0.004761666844099398
2006-11-01,0.027909329730209043,427,198,229,-0.6490604005184069,1.7363333658456492,0.0017363333658456494,0.0085,0.6490604005184069,0.005517013404406458,0.033426343134615503,0.03169000976876985,0.0037506394139740014,0.9871977240398293,703,0.029675703720641503
2006-12-01,0.006731955431957709,409,198,211,0.13199567569960335,1.8207624688063002,0.0018207624688063003,0.0138,-0.13199567569960335,-0.0018215403246545263,0.004910415107303182,0.003089652638496882,0.004220967859276744,0.990084985835694,706,0.0006894472480264381
